,Actual_Value,Prophet_Forecast,Prophet_Lower,Prophet_Upper
01-07-1992,77.5081,,,
01-08-1992,76.5374,,,
01-09-1992,72.3541,,,
01-10-1992,69.0286,,,
01-11-1992,73.4992,,,
01-12-1992,84.5159,,,
01-01-1993,87.9464,,,
01-02-1993,84.5561,,,
01-03-1993,79.4747,,,
01-04-1993,71.0578,,,
01-05-1993,67.6762,,,
01-06-1993,74.3297,,,
01-07-1993,82.1048,,,
01-08-1993,82.0605,,,
01-09-1993,74.6031,,,
01-10-1993,69.681,,,
01-11-1993,74.4292,,,
01-12-1993,84.2284,,,
01-01-1994,94.1386,,,
01-02-1994,87.1607,,,
01-03-1994,79.2456,,,
01-04-1994,70.9749,,,
01-05-1994,69.3844,,,
01-06-1994,77.9831,,,
01-07-1994,83.277,,,
01-08-1994,81.8872,,,
01-09-1994,75.6826,,,
01-10-1994,71.2661,,,
01-11-1994,75.2458,,,
01-12-1994,84.8147,,,
01-01-1995,92.4532,,,
01-02-1995,87.4033,,,
01-03-1995,81.2661,,,
01-04-1995,73.8167,,,
01-05-1995,73.2682,,,
01-06-1995,78.3026,,,
01-07-1995,85.9841,,,
01-08-1995,89.5467,,,
01-09-1995,78.5035,,,
01-10-1995,73.7066,,,
01-11-1995,79.6543,,,
01-12-1995,90.8251,,,
01-01-1996,98.9732,,,
01-02-1996,92.8883,,,
01-03-1996,86.9356,,,
01-04-1996,77.2214,,,
01-05-1996,76.6826,,,
01-06-1996,81.9306,,,
01-07-1996,85.9606,,,
01-08-1996,86.5562,,,
01-09-1996,79.1919,,,
01-10-1996,74.6891,,,
01-11-1996,81.074,,,
01-12-1996,90.4855,,,
01-01-1997,98.4613,,,
01-02-1997,89.7795,,,
01-03-1997,83.0125,,,
01-04-1997,76.1476,,,
01-05-1997,73.8471,,,
01-06-1997,79.7645,,,
01-07-1997,88.4519,,,
01-08-1997,87.7828,,,
01-09-1997,81.9386,,,
01-10-1997,77.5027,,,
01-11-1997,82.0448,,,
01-12-1997,92.101,,,
01-01-1998,94.792,,,
01-02-1998,87.82,,,
01-03-1998,86.5549,,,
01-04-1998,76.7521,,,
01-05-1998,78.0303,,,
01-06-1998,86.4579,,,
01-07-1998,93.8379,,,
01-08-1998,93.531,,,
01-09-1998,87.5414,,,
01-10-1998,80.0924,,,
01-11-1998,81.4349,,,
01-12-1998,91.6841,,,
01-01-1999,102.1348,,,
01-02-1999,91.1829,,,
01-03-1999,90.7381,,,
01-04-1999,80.5176,,,
01-05-1999,79.3887,,,
01-06-1999,87.8431,,,
01-07-1999,97.4903,,,
01-08-1999,96.4157,,,
01-09-1999,87.2248,,,
01-10-1999,80.6409,,,
01-11-1999,82.2025,,,
01-12-1999,94.5113,,,
01-01-2000,102.2301,,,
01-02-2000,94.2989,,,
01-03-2000,88.0927,,,
01-04-2000,81.4425,,,
01-05-2000,84.4552,,,
01-06-2000,91.0406,,,
01-07-2000,95.9957,,,
01-08-2000,99.3704,,,
01-09-2000,90.9178,,,
01-10-2000,83.1408,,,
01-11-2000,88.041,,,
01-12-2000,102.4558,,,
01-01-2001,109.1081,,,
01-02-2001,97.1717,,,
01-03-2001,92.8283,,,
01-04-2001,82.915,,,
01-05-2001,82.5465,,,
01-06-2001,90.3955,,,
01-07-2001,96.074,,,
01-08-2001,99.5534,,,
01-09-2001,88.281,,,
01-10-2001,82.686,,,
01-11-2001,82.9319,,,
01-12-2001,93.0381,,,
01-01-2002,102.9955,,,
01-02-2002,95.2075,,,
01-03-2002,93.2556,,,
01-04-2002,85.795,,,
01-05-2002,85.2351,,,
01-06-2002,93.1896,,,
01-07-2002,102.393,,,
01-08-2002,101.6293,,,
01-09-2002,93.3089,,,
01-10-2002,86.9002,,,
01-11-2002,88.5749,,,
01-12-2002,100.8003,,,
01-01-2003,110.1807,,,
01-02-2003,103.8413,,,
01-03-2003,94.5532,,,
01-04-2003,85.062,,,
01-05-2003,85.4653,,,
01-06-2003,91.0761,,,
01-07-2003,102.22,,,
01-08-2003,104.4682,,,
01-09-2003,92.9135,,,
01-10-2003,86.5047,,,
01-11-2003,88.5735,,,
01-12-2003,103.5428,,,
01-01-2004,113.7226,,,
01-02-2004,106.159,,,
01-03-2004,95.4029,,,
01-04-2004,86.7233,,,
01-05-2004,89.0302,,,
01-06-2004,95.5045,,,
01-07-2004,101.7948,,,
01-08-2004,100.2025,,,
01-09-2004,94.024,,,
01-10-2004,87.5262,,,
01-11-2004,89.6144,,,
01-12-2004,105.7263,,,
01-01-2005,111.1614,,,
01-02-2005,101.7795,,,
01-03-2005,98.9565,,,
01-04-2005,86.4776,,,
01-05-2005,87.2234,,,
01-06-2005,99.5076,,,
01-07-2005,108.3501,,,
01-08-2005,109.4862,,,
01-09-2005,99.1155,,,
01-10-2005,89.7567,,,
01-11-2005,90.4587,,,
01-12-2005,108.2257,,,
01-01-2006,104.4724,,,
01-02-2006,101.5196,,,
01-03-2006,98.4017,,,
01-04-2006,87.5093,,,
01-05-2006,90.0222,,,
01-06-2006,100.5244,,,
01-07-2006,110.9503,,,
01-08-2006,111.5192,,,
01-09-2006,95.7632,,,
01-10-2006,90.3738,,,
01-11-2006,92.3566,,,
01-12-2006,103.066,,,
01-01-2007,112.0576,,,
01-02-2007,111.8399,,,
01-03-2007,99.1925,,,
01-04-2007,90.8177,,,
01-05-2007,92.0587,,,
01-06-2007,100.9676,,,
01-07-2007,107.5686,,,
01-08-2007,114.1036,,,
01-09-2007,101.5316,,,
01-10-2007,93.0068,,,
01-11-2007,93.9126,,,
01-12-2007,106.7528,,,
01-01-2008,114.8331,,,
01-02-2008,108.2353,,,
01-03-2008,100.4386,,,
01-04-2008,90.9944,,,
01-05-2008,91.2348,,,
01-06-2008,103.9581,,,
01-07-2008,110.7631,,,
01-08-2008,107.5665,,,
01-09-2008,97.7183,,,
01-10-2008,90.9979,,,
01-11-2008,93.8057,,,
01-12-2008,109.4221,,,
01-01-2009,116.8316,,,
01-02-2009,104.4202,,,
01-03-2009,97.8529,,,
01-04-2009,88.1973,,,
01-05-2009,87.5366,,,
01-06-2009,97.2387,,,
01-07-2009,103.9086,,,
01-08-2009,105.7486,,,
01-09-2009,94.8823,,,
01-10-2009,89.2977,,,
01-11-2009,89.3585,,,
01-12-2009,110.6844,,,
01-01-2010,119.0166,,,
01-02-2010,110.533,,,
01-03-2010,98.2672,,,
01-04-2010,86.3,,,
01-05-2010,90.8364,,,
01-06-2010,104.3538,,,
01-07-2010,112.8066,,,
01-08-2010,112.9014,,,
01-09-2010,100.1209,,,
01-10-2010,88.9251,,,
01-11-2010,92.775,,,
01-12-2010,114.3266,,,
01-01-2011,119.488,,,
01-02-2011,107.3753,,,
01-03-2011,99.1028,,,
01-04-2011,89.3583,,,
01-05-2011,90.0698,,,
01-06-2011,102.8204,,,
01-07-2011,114.7068,,,
01-08-2011,113.5958,,,
01-09-2011,99.4712,,,
01-10-2011,90.3566,,,
01-11-2011,93.8095,,,
01-12-2011,107.3312,,,
01-01-2012,111.9646,,,
01-02-2012,103.3679,,,
01-03-2012,93.5772,,,
01-04-2012,87.5566,,,
01-05-2012,92.7603,,,
01-06-2012,101.14,,,
01-07-2012,113.0357,,,
01-08-2012,109.8601,,,
01-09-2012,96.7431,,,
01-10-2012,90.3805,,,
01-11-2012,94.3417,,,
01-12-2012,105.2722,,,
01-01-2013,115.501,,,
01-02-2013,106.734,,,
01-03-2013,102.9948,,,
01-04-2013,91.0092,,,
01-05-2013,90.9634,,,
01-06-2013,100.6957,,,
01-07-2013,110.148,,,
01-08-2013,108.1756,,,
01-09-2013,99.2809,,,
01-10-2013,91.7871,,,
01-11-2013,97.2853,,,
01-12-2013,113.4732,,,
01-01-2014,124.2549,,,
01-02-2014,112.8811,,,
01-03-2014,104.7631,,,
01-04-2014,90.2867,,,
01-05-2014,92.134,,,
01-06-2014,101.878,,,
01-07-2014,108.5497,,,
01-08-2014,108.194,,,
01-09-2014,100.4172,,,
01-10-2014,92.3837,,,
01-11-2014,99.7033,,,
01-12-2014,109.3477,,,
01-01-2015,120.2696,,,
01-02-2015,116.3788,,,
01-03-2015,104.4706,,,
01-04-2015,89.7461,,,
01-05-2015,91.093,,,
01-06-2015,102.6495,,,
01-07-2015,111.6354,,,
01-08-2015,110.5925,,,
01-09-2015,101.9204,,,
01-10-2015,91.5959,,,
01-11-2015,93.0628,,,
01-12-2015,103.2203,,,
01-01-2016,117.0837,,,
01-02-2016,106.6688,,,
01-03-2016,95.3548,,,
01-04-2016,89.3254,,,
01-05-2016,90.7369,,,
01-06-2016,104.0375,,,
01-07-2016,114.5397,,,
01-08-2016,115.5159,,,
01-09-2016,102.7637,,,
01-10-2016,91.4867,,,
01-11-2016,92.89,,,
01-12-2016,112.7694,,,
01-01-2017,114.8505,,,
01-02-2017,99.4901,,,
01-03-2017,101.0396,,,
01-04-2017,88.353,,,
01-05-2017,92.0805,,,
01-06-2017,102.1532,,,
01-07-2017,112.1538,,,
01-08-2017,108.9312,,,
01-09-2017,98.6154,,,
01-10-2017,93.6137,,,
01-11-2017,97.3359,,,
01-12-2017,114.7212,,,
01-01-2018,,116.132137,112.6006227,119.8210783
01-02-2018,,108.7103206,105.2315147,112.4004113
01-03-2018,,102.8538048,99.20571483,106.4927309
01-04-2018,,93.72286665,90.24208384,97.34878113
01-05-2018,,93.85731162,90.11350833,97.4314656
01-06-2018,,101.8072949,98.33197882,105.3363967
01-07-2018,,109.4184137,106.0155077,112.9699583
01-08-2018,,109.7522813,105.9490873,113.1804597
01-09-2018,,100.8569098,97.36138383,104.3991396
01-10-2018,,94.41759457,90.75769205,98.26994803
01-11-2018,,97.18590874,93.3961211,100.6160192
01-12-2018,,109.2891512,105.573522,112.8874132
01-01-2019,,116.5744526,113.3082302,120.2143161
01-02-2019,,109.5110329,105.9494257,112.941634
01-03-2019,,103.3469078,99.92734238,106.8441892
01-04-2019,,93.69185795,90.33553877,97.28649213
01-05-2019,,93.73607295,90.36219806,97.40527925
01-06-2019,,101.7721523,98.22534824,105.1938493
01-07-2019,,109.7146392,106.0665756,113.4553678
01-08-2019,,110.4129006,106.6705231,114.2239781
01-09-2019,,101.2663654,97.65250083,104.9310696
01-10-2019,,94.67378475,91.04569685,98.2704574
01-11-2019,,97.29928311,93.77666936,100.9037594
01-12-2019,,108.5965291,104.8052508,111.8888508
01-01-2020,,117.0370481,113.0802692,120.4295193
01-02-2020,,110.3168867,106.925389,113.9152982
01-03-2020,,102.7181328,99.05132734,106.4855069
01-04-2020,,94.64652454,91.11604078,97.99751569
01-05-2020,,94.99918216,91.37117438,98.59034329
01-06-2020,,102.79928,99.21959817,106.4419928
01-07-2020,,109.7524991,106.1482402,113.4267718
01-08-2020,,109.3284516,105.7952117,113.143553
01-09-2020,,100.9127304,97.35670745,104.7092125
01-10-2020,,94.77727556,91.08869681,98.16004284
01-11-2020,,97.82113082,94.40482335,101.361038
01-12-2020,,111.5901227,108.0039837,115.0767256
01-01-2021,,116.6048492,112.6599242,120.024374
01-02-2021,,108.8100845,105.0802728,112.3986823
01-03-2021,,103.2404988,99.50277968,106.8432768
01-04-2021,,94.6375977,90.88382653,98.42469829
01-05-2021,,94.87491542,91.29019287,98.46928275
01-06-2021,,102.7461689,99.22744951,106.1773828
01-07-2021,,110.027357,106.6397563,113.4663012
01-08-2021,,109.9870022,106.3152446,113.5383971
01-09-2021,,101.3353211,97.58202683,105.1119091
01-10-2021,,95.04847347,91.07070723,98.5988648
01-11-2021,,97.95633953,94.41216904,101.7263997
01-12-2021,,110.8837188,107.0658825,114.3272666
01-01-2022,,117.0267207,113.6578737,120.6248835
01-02-2022,,109.6049043,106.3112538,113.1292208
01-03-2022,,103.7483885,100.189862,107.4835523
01-04-2022,,94.61745037,91.03471443,98.40890605
01-05-2022,,94.75189534,91.16373696,97.82598301
01-06-2022,,102.7018786,99.14739054,106.3192279
01-07-2022,,110.3129974,106.6415542,114.0076779
01-08-2022,,110.646865,106.8216183,114.0637723
01-09-2022,,101.7514935,97.92864498,105.191042
01-10-2022,,95.31217829,91.8470454,98.8351535
01-11-2022,,98.08049246,94.29823785,101.7156399
01-12-2022,,110.1837349,106.6131317,113.6658448
01-01-2023,,117.4690364,113.5866709,121.116243
01-02-2023,,110.4056167,106.606462,114.2697921
01-03-2023,,104.2414915,100.6240709,107.7713099
01-04-2023,,94.58644167,91.08130988,98.33821986
01-05-2023,,94.63065667,90.87522602,98.16472091
01-06-2023,,102.666736,99.00537596,106.4032504
01-07-2023,,110.609223,107.151151,114.2758398
01-08-2023,,111.3074843,107.5810712,115.0324932
01-09-2023,,102.1609492,98.40336111,105.7307518
01-10-2023,,95.56836847,91.90719178,99.41850663
01-11-2023,,98.19386683,94.39702401,101.7799028
01-12-2023,,109.4911128,105.6806622,113.2652528
01-01-2024,,117.9316318,114.5868473,121.8065347
01-02-2024,,111.2114704,107.6118023,115.0699891
01-03-2024,,103.6127165,99.83800532,107.2697248
01-04-2024,,95.54110826,91.52551431,99.21601475
01-05-2024,,95.89376588,92.29361159,99.95977425
01-06-2024,,103.6938637,99.93006039,107.373012
01-07-2024,,110.6470828,106.7456663,114.0856956
01-08-2024,,110.2230353,106.5264996,114.0924344
01-09-2024,,101.8073141,97.88957856,105.440793
01-10-2024,,95.67185928,91.88868038,99.44032085
01-11-2024,,98.71571454,95.23815677,102.5831706
01-12-2024,,112.4847064,108.6894882,116.4124797
