,Actual_Value,Prophet_Forecast,Prophet_Lower,Prophet_Upper
1990-06-01,71.4654,,,
1990-07-01,76.614,,,
1990-08-01,77.1052,,,
1990-09-01,73.061,,,
1990-10-01,67.4365,,,
1990-11-01,68.5665,,,
1990-12-01,77.6839,,,
1991-01-01,86.0214,,,
1991-02-01,77.5573,,,
1991-03-01,73.365,,,
1991-04-01,67.15,,,
1991-05-01,68.8162,,,
1991-06-01,74.8448,,,
1991-07-01,80.0928,,,
1991-08-01,79.1606,,,
1991-09-01,73.5743,,,
1991-10-01,68.7538,,,
1991-11-01,72.5166,,,
1991-12-01,79.4894,,,
1992-01-01,85.2855,,,
1992-02-01,80.1643,,,
1992-03-01,74.5275,,,
1992-04-01,69.6441,,,
1992-05-01,67.1784,,,
1992-06-01,71.2078,,,
1992-07-01,77.5081,,,
1992-08-01,76.5374,,,
1992-09-01,72.3541,,,
1992-10-01,69.0286,,,
1992-11-01,73.4992,,,
1992-12-01,84.5159,,,
1993-01-01,87.9464,,,
1993-02-01,84.5561,,,
1993-03-01,79.4747,,,
1993-04-01,71.0578,,,
1993-05-01,67.6762,,,
1993-06-01,74.3297,,,
1993-07-01,82.1048,,,
1993-08-01,82.0605,,,
1993-09-01,74.6031,,,
1993-10-01,69.681,,,
1993-11-01,74.4292,,,
1993-12-01,84.2284,,,
1994-01-01,94.1386,,,
1994-02-01,87.1607,,,
1994-03-01,79.2456,,,
1994-04-01,70.9749,,,
1994-05-01,69.3844,,,
1994-06-01,77.9831,,,
1994-07-01,83.277,,,
1994-08-01,81.8872,,,
1994-09-01,75.6826,,,
1994-10-01,71.2661,,,
1994-11-01,75.2458,,,
1994-12-01,84.8147,,,
1995-01-01,92.4532,,,
1995-02-01,87.4033,,,
1995-03-01,81.2661,,,
1995-04-01,73.8167,,,
1995-05-01,73.2682,,,
1995-06-01,78.3026,,,
1995-07-01,85.9841,,,
1995-08-01,89.5467,,,
1995-09-01,78.5035,,,
1995-10-01,73.7066,,,
1995-11-01,79.6543,,,
1995-12-01,90.8251,,,
1996-01-01,98.9732,,,
1996-02-01,92.8883,,,
1996-03-01,86.9356,,,
1996-04-01,77.2214,,,
1996-05-01,76.6826,,,
1996-06-01,81.9306,,,
1996-07-01,85.9606,,,
1996-08-01,86.5562,,,
1996-09-01,79.1919,,,
1996-10-01,74.6891,,,
1996-11-01,81.074,,,
1996-12-01,90.4855,,,
1997-01-01,98.4613,,,
1997-02-01,89.7795,,,
1997-03-01,83.0125,,,
1997-04-01,76.1476,,,
1997-05-01,73.8471,,,
1997-06-01,79.7645,,,
1997-07-01,88.4519,,,
1997-08-01,87.7828,,,
1997-09-01,81.9386,,,
1997-10-01,77.5027,,,
1997-11-01,82.0448,,,
1997-12-01,92.101,,,
1998-01-01,94.792,,,
1998-02-01,87.82,,,
1998-03-01,86.5549,,,
1998-04-01,76.7521,,,
1998-05-01,78.0303,,,
1998-06-01,86.4579,,,
1998-07-01,93.8379,,,
1998-08-01,93.531,,,
1998-09-01,87.5414,,,
1998-10-01,80.0924,,,
1998-11-01,81.4349,,,
1998-12-01,91.6841,,,
1999-01-01,102.1348,,,
1999-02-01,91.1829,,,
1999-03-01,90.7381,,,
1999-04-01,80.5176,,,
1999-05-01,79.3887,,,
1999-06-01,87.8431,,,
1999-07-01,97.4903,,,
1999-08-01,96.4157,,,
1999-09-01,87.2248,,,
1999-10-01,80.6409,,,
1999-11-01,82.2025,,,
1999-12-01,94.5113,,,
2000-01-01,102.2301,,,
2000-02-01,94.2989,,,
2000-03-01,88.0927,,,
2000-04-01,81.4425,,,
2000-05-01,84.4552,,,
2000-06-01,91.0406,,,
2000-07-01,95.9957,,,
2000-08-01,99.3704,,,
2000-09-01,90.9178,,,
2000-10-01,83.1408,,,
2000-11-01,88.041,,,
2000-12-01,102.4558,,,
2001-01-01,109.1081,,,
2001-02-01,97.1717,,,
2001-03-01,92.8283,,,
2001-04-01,82.915,,,
2001-05-01,82.5465,,,
2001-06-01,90.3955,,,
2001-07-01,96.074,,,
2001-08-01,99.5534,,,
2001-09-01,88.281,,,
2001-10-01,82.686,,,
2001-11-01,82.9319,,,
2001-12-01,93.0381,,,
2002-01-01,102.9955,,,
2002-02-01,95.2075,,,
2002-03-01,93.2556,,,
2002-04-01,85.795,,,
2002-05-01,85.2351,,,
2002-06-01,93.1896,,,
2002-07-01,102.393,,,
2002-08-01,101.6293,,,
2002-09-01,93.3089,,,
2002-10-01,86.9002,,,
2002-11-01,88.5749,,,
2002-12-01,100.8003,,,
2003-01-01,110.1807,,,
2003-02-01,103.8413,,,
2003-03-01,94.5532,,,
2003-04-01,85.062,,,
2003-05-01,85.4653,,,
2003-06-01,91.0761,,,
2003-07-01,102.22,,,
2003-08-01,104.4682,,,
2003-09-01,92.9135,,,
2003-10-01,86.5047,,,
2003-11-01,88.5735,,,
2003-12-01,103.5428,,,
2004-01-01,113.7226,,,
2004-02-01,106.159,,,
2004-03-01,95.4029,,,
2004-04-01,86.7233,,,
2004-05-01,89.0302,,,
2004-06-01,95.5045,,,
2004-07-01,101.7948,,,
2004-08-01,100.2025,,,
2004-09-01,94.024,,,
2004-10-01,87.5262,,,
2004-11-01,89.6144,,,
2004-12-01,105.7263,,,
2005-01-01,111.1614,,,
2005-02-01,101.7795,,,
2005-03-01,98.9565,,,
2005-04-01,86.4776,,,
2005-05-01,87.2234,,,
2005-06-01,99.5076,,,
2005-07-01,108.3501,,,
2005-08-01,109.4862,,,
2005-09-01,99.1155,,,
2005-10-01,89.7567,,,
2005-11-01,90.4587,,,
2005-12-01,108.2257,,,
2006-01-01,104.4724,,,
2006-02-01,101.5196,,,
2006-03-01,98.4017,,,
2006-04-01,87.5093,,,
2006-05-01,90.0222,,,
2006-06-01,100.5244,,,
2006-07-01,110.9503,,,
2006-08-01,111.5192,,,
2006-09-01,95.7632,,,
2006-10-01,90.3738,,,
2006-11-01,92.3566,,,
2006-12-01,103.066,,,
2007-01-01,112.0576,,,
2007-02-01,111.8399,,,
2007-03-01,99.1925,,,
2007-04-01,90.8177,,,
2007-05-01,92.0587,,,
2007-06-01,100.9676,,,
2007-07-01,107.5686,,,
2007-08-01,114.1036,,,
2007-09-01,101.5316,,,
2007-10-01,93.0068,,,
2007-11-01,93.9126,,,
2007-12-01,106.7528,,,
2008-01-01,114.8331,,,
2008-02-01,108.2353,,,
2008-03-01,100.4386,,,
2008-04-01,90.9944,,,
2008-05-01,91.2348,,,
2008-06-01,103.9581,,,
2008-07-01,110.7631,,,
2008-08-01,107.5665,,,
2008-09-01,97.7183,,,
2008-10-01,90.9979,,,
2008-11-01,93.8057,,,
2008-12-01,109.4221,,,
2009-01-01,116.8316,,,
2009-02-01,104.4202,,,
2009-03-01,97.8529,,,
2009-04-01,88.1973,,,
2009-05-01,87.5366,,,
2009-06-01,97.2387,,,
2009-07-01,103.9086,,,
2009-08-01,105.7486,,,
2009-09-01,94.8823,,,
2009-10-01,89.2977,,,
2009-11-01,89.3585,,,
2009-12-01,110.6844,,,
2010-01-01,119.0166,,,
2010-02-01,110.533,,,
2010-03-01,98.2672,,,
2010-04-01,86.3,,,
2010-05-01,90.8364,,,
2010-06-01,104.3538,,,
2010-07-01,112.8066,,,
2010-08-01,112.9014,,,
2010-09-01,100.1209,,,
2010-10-01,88.9251,,,
2010-11-01,92.775,,,
2010-12-01,114.3266,,,
2011-01-01,119.488,,,
2011-02-01,107.3753,,,
2011-03-01,99.1028,,,
2011-04-01,89.3583,,,
2011-05-01,90.0698,,,
2011-06-01,102.8204,,,
2011-07-01,114.7068,,,
2011-08-01,113.5958,,,
2011-09-01,99.4712,,,
2011-10-01,90.3566,,,
2011-11-01,93.8095,,,
2011-12-01,107.3312,,,
2012-01-01,111.9646,,,
2012-02-01,103.3679,,,
2012-03-01,93.5772,,,
2012-04-01,87.5566,,,
2012-05-01,92.7603,,,
2012-06-01,101.14,,,
2012-07-01,113.0357,,,
2012-08-01,109.8601,,,
2012-09-01,96.7431,,,
2012-10-01,90.3805,,,
2012-11-01,94.3417,,,
2012-12-01,105.2722,,,
2013-01-01,115.501,,,
2013-02-01,106.734,,,
2013-03-01,102.9948,,,
2013-04-01,91.0092,,,
2013-05-01,90.9634,,,
2013-06-01,100.6957,,,
2013-07-01,110.148,,,
2013-08-01,108.1756,,,
2013-09-01,99.2809,,,
2013-10-01,91.7871,,,
2013-11-01,97.2853,,,
2013-12-01,113.4732,,,
2014-01-01,124.2549,,,
2014-02-01,112.8811,,,
2014-03-01,104.7631,,,
2014-04-01,90.2867,,,
2014-05-01,92.134,,,
2014-06-01,101.878,,,
2014-07-01,108.5497,,,
2014-08-01,108.194,,,
2014-09-01,100.4172,,,
2014-10-01,92.3837,,,
2014-11-01,99.7033,,,
2014-12-01,109.3477,,,
2015-01-01,120.2696,,,
2015-02-01,116.3788,,,
2015-03-01,104.4706,,,
2015-04-01,89.7461,,,
2015-05-01,91.093,,,
2015-06-01,102.6495,,,
2015-07-01,111.6354,,,
2015-08-01,110.5925,,,
2015-09-01,101.9204,,,
2015-10-01,91.5959,,,
2015-11-01,93.0628,,,
2015-12-01,103.2203,,,
2016-01-01,117.0837,,,
2016-02-01,106.6688,,,
2016-03-01,95.3548,,,
2016-04-01,89.3254,,,
2016-05-01,90.7369,,,
2016-06-01,104.0375,,,
2016-07-01,114.5397,,,
2016-08-01,115.5159,,,
2016-09-01,102.7637,,,
2016-10-01,91.4867,,,
2016-11-01,92.89,,,
2016-12-01,112.7694,,,
2017-01-01,114.8505,,,
2017-02-01,99.4901,,,
2017-03-01,101.0396,,,
2017-04-01,88.353,,,
2017-05-01,92.0805,,,
2017-06-01,102.1532,,,
2017-07-01,112.1538,,,
2017-08-01,108.9312,,,
2017-09-01,98.6154,,,
2017-10-01,93.6137,,,
2017-11-01,97.3359,,,
2017-12-01,114.7212,,,
2018-01-01,129.4048,,,
2018-02-01,,109.11049303941641,105.20837954186464,112.65143082452735
2018-03-01,,103.29957932098193,99.8943477133401,106.82399378147387
2018-04-01,,94.15384573928512,90.19320757170512,97.81259936729042
2018-05-01,,94.28448733733006,90.4386698766901,98.23237650080326
2018-06-01,,102.23542386462621,98.72132269417364,106.0497965420465
2018-07-01,,109.85425192143371,106.2595272564173,113.20049824064121
2018-08-01,,110.20372554360091,106.5437040141426,113.73178941949901
2018-09-01,,101.3132516926472,97.62591756883432,104.91686553276021
2018-10-01,,94.88076720254702,91.12669842626346,98.53110419692229
2018-11-01,,97.6521716702441,94.0607121217748,101.58158059200387
2018-12-01,,109.75234550016118,106.04571628660565,113.51308076537167
2019-01-01,,117.38078510031039,113.44943228365433,120.88603917798962
2019-02-01,,110.02222442512681,106.40405386685342,113.75537448236042
2019-03-01,,103.89292164692489,100.15438038059264,107.58382566119582
2019-04-01,,94.18561435321416,90.53501282291367,97.68269327314592
2019-05-01,,94.21225876719205,90.283362135732,97.55242376359479
2019-06-01,,102.24407979627235,98.81918098339128,105.79671657802497
2019-07-01,,110.20234913757263,106.59886386295298,113.75505256111754
2019-08-01,,110.9386626990841,107.33897736259713,114.48202471804376
2019-09-01,,101.79840112093072,98.0478849360103,105.48350631351924
2019-10-01,,95.21735862168454,91.42935408763273,98.83862304835614
2019-11-01,,97.8427754396927,94.36134215539764,101.5599155139801
2019-12-01,,109.12133433424844,105.49270811204764,112.96451579886899
2020-01-01,,117.8085423901279,114.13092403583421,121.28007304194755
2020-02-01,,110.94114155299937,107.19115680912375,114.36714799462972
2020-03-01,,103.21819565656793,99.39714133412367,106.47350465252525
2020-04-01,,95.20527891364895,91.16868730523599,98.91832759848387
2020-05-01,,95.58297711478345,91.74830532426947,99.18130730894931
2020-06-01,,103.39616152634342,99.68699414044936,107.06004518812702
2020-07-01,,110.34290836525813,106.58911142000784,113.97953960982584
2020-08-01,,109.8895957848968,105.70785497299887,113.2975327506453
2020-09-01,,101.47492892604554,98.10758896499999,104.93416334530947
2020-10-01,,95.3355211551357,91.72668198117114,98.81852697577249
2020-11-01,,98.38719944491717,94.60518176171234,102.19808315609092
2020-12-01,,112.18246985207257,108.30212408464173,115.47948358053762
2021-01-01,,117.73934134068762,113.86581357789639,121.65751373539781
2021-02-01,,109.35771471822962,105.80428682443791,112.98864673351441
2021-03-01,,103.84186981279609,100.20169464250797,107.43988428618871
2021-04-01,,95.26117266372786,91.48559675282141,99.0873077883572
2021-05-01,,95.50890221316311,91.86629621289823,99.42661923021987
2021-06-01,,103.38689374857236,99.67453888693663,107.05495630842213
2021-07-01,,110.66836796544445,106.80248057313635,114.33864832663373
2021-08-01,,110.62116995033982,106.83757892925183,114.34525487336462
2021-09-01,,101.97264286002255,98.25464919278322,105.9275218915769
2021-10-01,,95.6874601679793,92.25467348758826,99.57372226811835
2021-11-01,,98.60105427773144,94.72721409502032,102.35314593869391
2021-12-01,,111.54036886687517,107.80271028988822,115.27948573918749
2022-01-01,,118.1250204417148,114.53404870994075,121.74943233000135
2022-02-01,,110.26147649302648,106.44732866330232,113.93691513654503
2022-03-01,,104.45056277459197,100.65304787074561,108.03374873217496
2022-04-01,,95.30482919289503,91.49994753401532,99.29044835850961
2022-05-01,,95.43547079094523,91.63179580354763,99.07331707221701
2022-06-01,,103.38640731823823,99.87446318693554,107.28027306797708
2022-07-01,,111.00523537504407,107.43983853161083,114.83728140172698
2022-08-01,,111.35470899720623,107.56311319821333,114.99785933131113
2022-09-01,,102.46423514625776,99.03611861545092,106.11343174238354
2022-10-01,,96.03175065615662,92.63758036058299,99.72162353850779
2022-11-01,,98.80315512385604,95.11760201983873,102.42429346520987
2022-12-01,,110.90332895377595,107.11020369353602,114.61246490650913
2023-01-01,,118.53176855392297,114.8884655060985,122.34122704846443
2023-02-01,,111.17320787874016,107.57425736361083,115.25459693484967
2023-03-01,,105.04390510053561,101.02720051888693,108.71402085438206
2023-04-01,,95.33659780682532,91.58244536914141,99.16749303686649
2023-05-01,,95.36324222080336,91.67344469718446,99.15924506971113
2023-06-01,,103.39506324988247,99.81181772157863,107.05517430967387
2023-07-01,,111.35333259118364,107.27804285473114,114.99417173636026
2023-08-01,,112.08964615269032,108.21147700047658,115.87174097208157
2023-09-01,,102.94938457454143,99.272221372392,106.5032994832471
2023-10-01,,96.36834207529415,92.71309346447336,99.93704118677934
2023-11-01,,98.99375889330649,95.18166684013805,102.74425966847481
2023-12-01,,110.27231778786644,106.37214085581608,113.83326513112029
2024-01-01,,118.95952584373634,115.16337371062214,122.7113899898278
2024-02-01,,112.0921250066139,108.30265702985461,115.95876370862375
2024-03-01,,104.36917911017474,100.63659305681301,108.19379172144613
2024-04-01,,96.35626236726158,92.65270580052525,100.3043532635105
2024-05-01,,96.73396056839809,92.93434721202703,100.58464437447213
2024-06-01,,104.54714497995492,100.94169816769545,108.22521017493418
2024-07-01,,111.49389181886738,108.03754061624306,115.34099846388786
2024-08-01,,111.04057923850877,107.47058983809968,114.75643563533046
2024-09-01,,102.62591237965357,98.45325688680421,106.61221382586561
2024-10-01,,96.48650460874505,92.36896105808071,100.20407920172637
2024-11-01,,99.53818289853203,95.56632986099012,103.66179100699539
2024-12-01,,113.3334533056888,109.46028773205623,117.44432591506819
2025-01-01,,118.89032479429727,114.64318646166826,122.66363340486778
